District,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,#,%
1,3,2013,Female,449,308,118,26.3,139,31.0,94,20.9,98,21.8,192,42.8
1,3,2014,Female,428,309,107,25.0,119,27.8,101,23.6,101,23.6,202,47.2
1,3,2015,Female,369,310,102,27.6,89,24.1,79,21.4,99,26.8,178,48.2
1,3,2016,Female,357,316,75,21.0,94,26.3,69,19.3,119,33.3,188,52.7
1,3,2017,Female,347,314,87,25.1,79,22.8,73,21.0,108,31.1,181,52.2
1,3,2018,Female,351,602,90,25.6,69,19.7,90,25.6,102,29.1,192,54.7
1,4,2013,Female,426,304,120,28.2,136,31.9,90,21.1,80,18.8,170,39.9
1,4,2014,Female,418,315,100,23.9,108,25.8,90,21.5,120,28.7,210,50.2
1,4,2015,Female,400,309,108,27.0,100,25.0,80,20.0,112,28.0,192,48.0
1,4,2016,Female,358,308,109,30.4,79,22.1,67,18.7,103,28.8,170,47.5
1,4,2017,Female,346,312,89,25.7,84,24.3,60,17.3,113,32.7,173,50.0
1,4,2018,Female,345,600,99,28.7,86,24.9,58,16.8,102,29.6,160,46.4
1,5,2013,Female,404,305,154,38.1,109,27.0,75,18.6,66,16.3,141,34.9
1,5,2014,Female,371,311,114,30.7,100,27.0,87,23.5,70,18.9,157,42.3
1,5,2015,Female,392,320,106,27.0,77,19.6,88,22.4,121,30.9,209,53.3
1,5,2016,Female,389,315,126,32.4,76,19.5,79,20.3,108,27.8,187,48.1
1,5,2017,Female,351,314,106,30.2,71,20.2,80,22.8,94,26.8,174,49.6
1,5,2018,Female,331,605,95,28.7,64,19.3,57,17.2,115,34.7,172,52.0
1,6,2013,Female,416,306,113,27.2,137,32.9,79,19.0,87,20.9,166,39.9
1,6,2014,Female,388,312,94,24.2,125,32.2,67,17.3,102,26.3,169,43.6
1,6,2015,Female,368,312,89,24.2,108,29.3,71,19.3,100,27.2,171,46.5
1,6,2016,Female,390,320,73,18.7,119,30.5,58,14.9,140,35.9,198,50.8
1,6,2017,Female,357,316,95,26.6,75,21.0,54,15.1,133,37.3,187,52.4
1,6,2018,Female,370,602,122,33.0,72,19.5,62,16.8,114,30.8,176,47.6
1,7,2013,Female,438,306,163,37.2,118,26.9,82,18.7,75,17.1,157,35.8
1,7,2014,Female,384,309,120,31.3,106,27.6,92,24.0,66,17.2,158,41.1
1,7,2015,Female,348,307,113,32.5,110,31.6,75,21.6,50,14.4,125,35.9
1,7,2016,Female,368,310,114,31.0,115,31.3,70,19.0,69,18.8,139,37.8
1,7,2017,Female,375,315,93,24.8,111,29.6,89,23.7,82,21.9,171,45.6
1,7,2018,Female,357,603,112,31.4,66,18.5,77,21.6,102,28.6,179,50.1
1,8,2013,Female,387,306,118,30.5,127,32.8,72,18.6,70,18.1,142,36.7
1,8,2014,Female,365,300,135,37.0,116,31.8,75,20.5,39,10.7,114,31.2
1,8,2015,Female,299,300,104,34.8,103,34.4,55,18.4,37,12.4,92,30.8
1,8,2016,Female,290,293,111,38.3,104,35.9,45,15.5,30,10.3,75,25.9
1,8,2017,Female,265,292,103,38.9,108,40.8,31,11.7,23,8.7,54,20.4
1,8,2018,Female,267,600,99,37.1,82,30.7,47,17.6,39,14.6,86,32.2
1,All Grades,2013,Female,2520,306,786,31.2,766,30.4,492,19.5,476,18.9,968,38.4
1,All Grades,2014,Female,2354,309,670,28.5,674,28.6,512,21.8,498,21.2,1010,42.9
1,All Grades,2015,Female,2176,310,622,28.6,587,27.0,448,20.6,519,23.9,967,44.4
1,All Grades,2016,Female,2152,311,608,28.3,587,27.3,388,18.0,569,26.4,957,44.5
1,All Grades,2017,Female,2041,311,573,28.1,528,25.9,387,19.0,553,27.1,940,46.1
1,All Grades,2018,Female,2021,602,617,30.5,439,21.7,391,19.3,574,28.4,965,47.7
1,3,2013,Male,438,305,131,29.9,127,29.0,85,19.4,95,21.7,180,41.1
1,3,2014,Male,415,307,117,28.2,103,24.8,103,24.8,92,22.2,195,47.0
1,3,2015,Male,396,309,119,30.1,86,21.7,89,22.5,102,25.8,191,48.2
1,3,2016,Male,386,311,109,28.2,84,21.8,72,18.7,121,31.3,193,50.0
1,3,2017,Male,379,310,98,25.9,87,23.0,79,20.8,115,30.3,194,51.2
1,3,2018,Male,359,603,92,25.6,58,16.2,90,25.1,119,33.1,209,58.2
1,4,2013,Male,411,307,120,29.2,116,28.2,83,20.2,92,22.4,175,42.6
1,4,2014,Male,411,310,116,28.2,101,24.6,79,19.2,115,28.0,194,47.2
1,4,2015,Male,403,304,121,30.0,106,26.3,74,18.4,102,25.3,176,43.7
1,4,2016,Male,392,305,135,34.4,81,20.7,64,16.3,112,28.6,176,44.9
1,4,2017,Male,365,309,106,29.0,78,21.4,81,22.2,100,27.4,181,49.6
1,4,2018,Male,396,599,126,31.8,83,21.0,73,18.4,114,28.8,187,47.2
1,5,2013,Male,376,298,161,42.8,104,27.7,61,16.2,50,13.3,111,29.5
1,5,2014,Male,394,310,122,31.0,112,28.4,68,17.3,92,23.4,160,40.6
1,5,2015,Male,390,312,131,33.6,79,20.3,78,20.0,102,26.2,180,46.2
1,5,2016,Male,395,308,136,34.4,94,23.8,71,18.0,94,23.8,165,41.8
1,5,2017,Male,366,313,119,32.5,71,19.4,76,20.8,100,27.3,176,48.1
1,5,2018,Male,385,601,138,35.8,50,13.0,80,20.8,117,30.4,197,51.2
1,6,2013,Male,435,303,136,31.3,142,32.6,70,16.1,87,20.0,157,36.1
1,6,2014,Male,356,308,94,26.4,114,32.0,55,15.4,93,26.1,148,41.6
1,6,2015,Male,397,310,119,30.0,110,27.7,59,14.9,109,27.5,168,42.3
1,6,2016,Male,417,307,125,30.0,116,27.8,53,12.7,123,29.5,176,42.2
